Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_360:0000003,FW_6M_g_OBSOLETE,,Trial evaluation,Harvest,Obsolete,,Cornell University,,15-Feb-18,English,Sugar Kelp,CO_360:0000000,Fresh weight,Agronomic,Fresh Weight,,FW,,Kelp,Fresh weight,,,CO_360:0000001,Fresh weight - Measurement,Measurement,Weight of plants along 10 cm random rope samples at harvest,,,CO_360:0000002,g,Numerical,2,,,,,,,,,,,,,
,CO_360:0000007,DMC_6M_g_OBSOLETE,,Trial evaluation,Harvest,Obsolete,,Cornell University,,15-Feb-18,English,Sugar Kelp,CO_360:0000004,Dry matter content,Agronomic,Dry matter content,,DMC,,Kelp,Dry matter content,,,CO_360:0000005,Dry matter content - Measurement,Measurement,Oven dry method (55C) at harvest,,,CO_360:0000006,g,Numerical,2,,,,,,,,,,,,,
,CO_360:0000011,BL_3M_cm_OBSOLETE,,Trial evaluation,3 months post-planting,Obsolete,,Cornell University,,15-Feb-18,English,Sugar Kelp,CO_360:0000008,Blade length,Morphological,Blade length,,BL,,Blade,Length,,,CO_360:0000009,Blade length - Measurement,Measurement,Direct measurements of 10 blades randomly sampled at 3 months post-planting,,,CO_360:0000010,cm,Numerical,2,,,,,,,,,,,,,
,CO_360:0000015,BL_6M_cm_OBSOLETE,,Trial evaluation,Around 6 months post-planting,Obsolete,,Cornell University,,15-Feb-18,English,Sugar Kelp,CO_360:0000012,Blade length,Morphological,Blade length,,BL,,Blade,Length,,,CO_360:0000013,Blade length - Measurement,Measurement,Direct measurements of 10 blades randomly sampled at around 6 months post-planting,,,CO_360:0000014,cm,Numerical,2,,,,,,,,,,,,,
,CO_360:0000019,BW_3M_cm_OBSOLETE,,Trial evaluation,3 months post-planting,Obsolete,,Cornell University,,15-Feb-18,English,Sugar Kelp,CO_360:0000016,Blade width,Morphological,Blade width,,BW,,Blade,Width,,,CO_360:0000017,Blade width - Measurement,Measurement,Direct measurements of 10 blades randomly sampled at 3 months post-planting,,,CO_360:0000018,cm,Numerical,2,,,,,,,,,,,,,
,CO_360:0000023,BW_6M_cm_OBSOLETE,,Trial evaluation,Around 6 months post-planting,Obsolete,,Cornell University,,15-Feb-18,English,Sugar Kelp,CO_360:0000020,Blade width,Morphological,Blade width,,BW,,Blade,Width,,,CO_360:0000021,Blade width - Measurement,Measurement,Direct measurements of 10 blades randomly sampled at around 6 months post-planting,,,CO_360:0000022,cm,Numerical,2,,,,,,,,,,,,,
,CO_360:0000027,SL_3M_cm_OBSOLETE,,Trial evaluation,3 months post-planting,Obsolete,,Cornell University,,15-Feb-18,English,Sugar Kelp,CO_360:0000024,Stipe length,Morphological,Stipe length,,SL,,Stipe,Length,,,CO_360:0000025,Stipe length - Measurement,Measurement,Direct measurements of 10 blades randomly sampled at 3 months post-planting,,,CO_360:0000026,cm,Numerical,2,,,,,,,,,,,,,
,CO_360:0000031,SL_6M_cm_OBSOLETE,,Trial evaluation,Around 6 months post-planting,Obsolete,,Cornell University,,15-Feb-18,English,Sugar Kelp,CO_360:0000028,Stipe length,Morphological,Stipe length,,SL,,Stipe,Length,,,CO_360:0000029,Stipe length - Measurement,Measurement,Direct measurements of 10 blades randomly sampled at around 6 months post-planting,,,CO_360:0000030,cm,Numerical,2,,,,,,,,,,,,,
,CO_360:0000035,GR_Comp_cmd,,Trial evaluation,Harvest,,,Cornell University,,15/02/2018,English,Sugar Kelp,CO_360:0000032,Growth rate,Physiological,Growth rate ,,GR,,Kelp,Growth rate,,,CO_360:0000033,Growth rate - Computation,Computation,Calculation of growth rate based at harvest,,,CO_360:0000034,cm/day,Numerical,2,,,,,,,,,,,,,
,CO_360:0000039,M_E_0to1_OBSOLETE,,Trial evaluation,Around 6 months post-planting,Obsolete,,Cornell University,,15-Feb-18,English,Sugar Kelp,CO_360:0000036,Maturity,Phenological,Presence or absence in blades,,M,,Kelp,Maturity,,,CO_360:0000037,Maturity - Estimation,Estimation,Presence or absence in blades,,,CO_360:0000038,No scale name found,Nominal,,,,,0 = Absence,1 = Presence,,,,,,,,
,CO_360:0000043,CFC_M_%,,Trial evaluation,Harvest,,,Cornell University,,14/08/2018,English,Sugar Kelp,CO_360:0000040,Carbohydrate / fiber content,Biochemical,Carbohydrate / fiber content ,,CFC,,Kelp,Carbohydrate / fiber content,,,CO_360:0000041,Carbohydrate / fiber content - Measurement,Measurement,Done by New Jersey Feed Labs ,,,CO_360:0000186,%,Numerical,2,0,100,,,,,,,,,,,
